
Disease,Language Code,Description
Common Cold,en," The common cold is a viral infection that primarily affects the upper respiratory tract, including the nose and throat. It is generally mild and self-limiting but can cause discomfort and inconvenience.<br><br>

<strong>Causes</strong><br><br>
- <em><b>Virus Transmission:</b></em> Caused by rhinoviruses or other respiratory viruses.<br>
- <em><b>Spread:</b></em> Through respiratory droplets, direct contact with infected individuals, or touching contaminated surfaces.<br><br>

<strong>Precautions</strong><br><br>
- <em><b>Good Hygiene:</b></em> Regular handwashing with soap and water.<br>
- <em><b>Avoid Touching Face:</b></em> Minimize contact with your nose, mouth, and eyes.<br>
- <em><b>Avoid Close Contact:</b></em> Keep distance from people showing cold symptoms.<br>
- <em><b>Sanitize Surfaces:</b></em> Disinfect frequently touched objects like doorknobs and phones.<br>
- <em><b>Boost Immunity:</b></em> Maintain a healthy diet and stay hydrated.<br><br>

<strong>Home Remedies</strong><br><br>
- <em><b>Rest:</b></em> Adequate sleep helps the body fight the infection.<br>
- <em><b>Hydration:</b></em> Drink plenty of fluids like water, clear soups, and herbal teas.<br>
- <em><b>Steam Inhalation:</b></em> Alleviates nasal congestion.<br>
- <em><b>Salt Water Gargle:</b></em> Soothes a sore throat.<br>
- <em><b>Honey and Lemon:</b></em> Add to warm water to relieve throat irritation.<br>
- <em><b>Humidifier:</b></em> Adds moisture to the air, easing breathing.<br>
- <em><b>Warm Soups:</b></em> Helps reduce congestion and provides comfort.<br>"

Common Cold,te,"<strong>సాధారణ జలుబు:</strong> సాధారణ జలుబు అనేది వైరల్ ఇన్‌ఫెక్షన్, ఇది ప్రధానంగా ముక్కు మరియు గొంతుతో సహా ఎగువ శ్వాసకోశాన్ని ప్రభావితం చేస్తుంది. ఇది సాధారణంగా తేలికపాటి మరియు స్వీయ-పరిమితం కలిగి ఉంటుంది కానీ అసౌకర్యం మరియు అసౌకర్యాన్ని కలిగిస్తుంది.<br> <br>

<strong>కారణాలు</strong><br><br>
- <em><b>వైరస్ ట్రాన్స్‌మిషన్:</b></em> రైనోవైరస్‌లు లేదా ఇతర శ్వాసకోశ వైరస్‌ల వల్ల కలుగుతుంది.<br>
- <em><b>స్ప్రెడ్:</b></em> శ్వాసకోశ చుక్కల ద్వారా, సోకిన వ్యక్తులతో ప్రత్యక్ష పరిచయం లేదా కలుషితమైన ఉపరితలాలను తాకడం.<br><br>

<strong>జాగ్రత్తలు</strong><br><br>
- <em><b>మంచి పరిశుభ్రత:</b></em> సబ్బు మరియు నీటితో క్రమం తప్పకుండా చేతులు కడుక్కోవడం.<br>
- <em><b>ముఖాన్ని తాకడం మానుకోండి:</b></em> మీ ముక్కు, నోరు మరియు కళ్లతో సంబంధాన్ని తగ్గించండి.<br>
- <em><b>సన్నిహిత పరిచయాన్ని నివారించండి:</b></em> జలుబు లక్షణాలను చూపుతున్న వ్యక్తుల నుండి దూరం ఉంచండి.<br>
- <em><b>ఉపరితలాలను శుభ్రపరచండి:</b></em> డోర్క్‌నాబ్‌లు మరియు ఫోన్‌ల వంటి తరచుగా తాకిన వస్తువులను క్రిమిసంహారక చేయండి.<br>
- <em><b>రోగనిరోధక శక్తిని పెంచండి:</b></em> ఆరోగ్యకరమైన ఆహారాన్ని నిర్వహించండి మరియు హైడ్రేటెడ్ గా ఉండండి.<br><br>

<strong>ఇంటి నివారణలు</strong><br><br>
- <em><b>విశ్రాంతి:</b></em> తగినంత నిద్ర శరీరం సంక్రమణతో పోరాడటానికి సహాయపడుతుంది.<br>
- <em><b>హైడ్రేషన్:</b></em> నీరు, స్పష్టమైన సూప్‌లు మరియు హెర్బల్ టీలు వంటి ద్రవాలను పుష్కలంగా త్రాగండి.<br>
- <em><b>ఆవిరి పీల్చడం:</b></em> నాసికా రద్దీని తగ్గిస్తుంది.<br>
- <em><b>సాల్ట్ వాటర్ గార్గల్:</b></em> గొంతు నొప్పిని తగ్గిస్తుంది.<br>
- <em><b>తేనె మరియు నిమ్మకాయ:</b></em> గొంతు చికాకు నుండి ఉపశమనం పొందడానికి గోరువెచ్చని నీటిలో జోడించండి.<br>
- <em><b>హ్యూమిడిఫైయర్:</b></em> గాలికి తేమను జోడిస్తుంది, శ్వాసను సులభతరం చేస్తుంది.<br>
- <em><b>వెచ్చని సూప్‌లు:</b></em> రద్దీని తగ్గించడంలో సహాయపడుతుంది మరియు సౌకర్యాన్ని అందిస్తుంది.<br>"
common cold,ta,"<strong>ஜலதோஷம்:</strong> ஜலதோஷம் என்பது ஒரு வைரஸ் தொற்று ஆகும், இது முதன்மையாக மூக்கு மற்றும் தொண்டை உட்பட மேல் சுவாசக் குழாயைப் பாதிக்கிறது. இது பொதுவாக லேசானது மற்றும் தன்னைத்தானே கட்டுப்படுத்துகிறது, ஆனால் அசௌகரியத்தையும் சிரமத்தையும் ஏற்படுத்தலாம்.<br> <br>

<strong>காரணங்கள்</strong><br><br>
- <em><b>வைரஸ் பரவுதல்:</b></em> ரைனோவைரஸ்கள் அல்லது பிற சுவாச வைரஸ்களால் ஏற்படுகிறது.<br>
- <em><b>பரவுதல்:</b></em> சுவாசத் துளிகள் மூலம், பாதிக்கப்பட்ட நபர்களுடன் நேரடி தொடர்பு, அல்லது அசுத்தமான பரப்புகளைத் தொடுதல்.<br><br>

<strong>முன்னெச்சரிக்கைகள்</strong><br><br>
- <em><b>நல்ல சுகாதாரம்:</b></em> சோப்பு மற்றும் தண்ணீருடன் தொடர்ந்து கை கழுவுதல்.<br>
- <em><b>முகத்தைத் தொடுவதைத் தவிர்க்கவும்:</b></em> உங்கள் மூக்கு, வாய் மற்றும் கண்களுடன் தொடர்பைக் குறைக்கவும்.<br>
- <em><b>நெருங்கிய தொடர்பைத் தவிர்க்கவும்:</b></em> சளி அறிகுறிகளைக் காட்டுபவர்களிடமிருந்து தூரத்தை வைத்திருங்கள்.<br>
- <em><b>மேற்பரப்புகளை சுத்தப்படுத்துதல்:</b></em> கதவு கைப்பிடிகள் மற்றும் தொலைபேசிகள் போன்ற அடிக்கடி தொடும் பொருட்களை கிருமி நீக்கம் செய்யவும்.<br>
- <em><b>நோய் எதிர்ப்பு சக்தியை அதிகரிக்க:</b></em> ஆரோக்கியமான உணவைப் பராமரித்து நீரேற்றத்துடன் இருங்கள்.<br><br>

<strong>வீட்டு வைத்தியம்</strong><br><br>
- <em><b>ஓய்வு:</b></em> போதுமான தூக்கம் உடலில் தொற்றுநோயை எதிர்த்துப் போராட உதவுகிறது.<br>
- <em><b>நீரேற்றம்:</b></em> தண்ணீர், தெளிவான சூப்கள் மற்றும் மூலிகை தேநீர் போன்ற திரவங்களை நிறைய குடிக்கவும்.<br>
- <em><b>நீராவி உள்ளிழுத்தல்:</b></em> நாசி நெரிசலைக் குறைக்கிறது.<br>
- <em><b>உப்பு நீர் வாய் கொப்பளிக்க:</b></em> தொண்டை வலியை ஆற்றும்.<br>
- <em><b>தேன் மற்றும் எலுமிச்சை:</b></em> தொண்டை எரிச்சலைப் போக்க வெதுவெதுப்பான நீரில் சேர்க்கவும்.<br>
- <em><b>ஹைமிடிஃபையர்:</b></em> காற்றில் ஈரப்பதத்தைச் சேர்க்கிறது, சுவாசத்தை எளிதாக்குகிறது.<br>
- <em><b>சூடான சூப்கள்:</b></em> நெரிசலைக் குறைக்க உதவுகிறது மற்றும் ஆறுதல் அளிக்கிறது.<br>"
common cold,hi,"<strong>सर्दी-जुकाम:</strong>सर्दी-जुकाम एक वायरल संक्रमण है जो मुख्य रूप से नाक और गले सहित ऊपरी श्वसन पथ को प्रभावित करता है। यह आम तौर पर हल्का और खुद को सीमित करने वाला होता है लेकिन इससे असुविधा और असुविधा हो सकती है।<br><br>

<strong>कारण</strong><br><br>
- <em><b>वायरस संचरण:</b></em> राइनोवायरस या अन्य श्वसन वायरस के कारण होता है।<br>
- <em><b>प्रसार:</b></em> श्वसन बूंदों के माध्यम से, संक्रमित व्यक्तियों के साथ सीधे संपर्क, या दूषित सतहों को छूने से।<br><br>

<strong>सावधानियाँ</strong><br><br>
- <em><b>अच्छी स्वच्छता:</b></em> साबुन और पानी से नियमित रूप से हाथ धोना।<br>
- <em><b>चेहरे को छूने से बचें:</b></em> अपनी नाक, मुँह और नाक के संपर्क को कम से कम करें। आँखें।<br>
- <em><b>निकट संपर्क से बचें:</b></em> सर्दी के लक्षण दिखाने वाले लोगों से दूरी बनाए रखें।<br>
- <em><b>सतहों को साफ करें:</b></em> दरवाजे के हैंडल और फोन जैसी बार-बार छुई जाने वाली वस्तुओं को कीटाणुरहित करें।<br>
- <em><b>प्रतिरक्षा शक्ति बढ़ाएँ:</b></em> स्वस्थ आहार लें और हाइड्रेटेड रहें।<br><br>

<strong>घरेलू उपचार</strong><br><br>
- <em><b>आराम करें:</b></em> पर्याप्त नींद शरीर को संक्रमण से लड़ने में मदद करती है।<br>
- <em><b>हाइड्रेशन:</b></em> पानी, साफ सूप और हर्बल चाय जैसे तरल पदार्थों का खूब सेवन करें।<br>
- <em><b>भाप लेना:</b></em> नाक की सूजन को कम करता है कंजेशन।<br>
- <em><b>नमक के पानी से गरारे:</b></em> गले की खराश को शांत करता है।<br>
- <em><b>शहद और नींबू:</b></em> गले की जलन से राहत पाने के लिए गर्म पानी में मिलाएँ।<br>
- <em><b>ह्यूमिडिफायर:</b></em> हवा में नमी लाता है, जिससे साँस लेना आसान हो जाता है।<br>
- <em><b>गर्म सूप:</b></em> कंजेशन को कम करने और आराम प्रदान करने में मदद करता है।<br>"

flu,en," Influenza(Flu) commonly known as the flu is a contagious respiratory illness caused by influenza viruses primarily affecting the nose throat  and lungs. It is seasonal  peaking in winter but can occur year-round.
<br><br>
<strong>Causes</strong><br><br>
- Virus Transmission: Caused by influenza types A and B.<br>
- Spread: Primarily through respiratory droplets from coughs or sneezes and by touching contaminated surfaces.
<br><br>
<strong>Precautions</strong><br><br>
-<em><b> Vaccination:</em></b> Annual flu vaccine is the best prevention.<br>
-<em><b> Good Hygiene:</em></b> Regular handwashing and avoiding touching the face.<br>
- <em><b>Avoid Close Contact: </em></b>Stay away from sick individuals.<br>
- <em><b>Wear a Mask:</em></b> In crowded or indoor spaces during flu season.<br>
- <em><b>Stay Home When Sick:</em></b> To prevent spreading the virus.<br>
<br>
<strong>Home Remedies</strong><br>
<br>
-<em><b>Rest and Hydration:</b></em> Drink fluids like water and herbal teas.<br>
-<em><b>Over-the-Counter Medications:</b></em> Pain relievers for fever and aches.<br>
-<em><b>Ginger and Honey Tea:</b></em> Soothes sore throat and cough.<br>
-<em><b>Steam Inhalation:</b></em> Relieves nasal congestion.<br>
-<em><b>Salt Water Gargle:</b></em> Eases throat discomfort.<br>
-<em><b>Warm Fluids:</b></em> Soothe the throat and relieve congestion.<br>
-<em><b>Humidifier:</b></em> Adds moisture to the air for easier breathing."
flu,te," ఇన్ఫ్లుఎంజా (ఫ్లూ) : ఇన్ఫ్లుఎంజా సాధారణంగా ఫ్లూ అని పిలుస్తారు, ఇది ఇన్ఫ్లుఎంజా వైరస్ల వల్ల కలిగే అంటు శ్వాసకోశ వ్యాధి, ఇది ప్రధానంగా ముక్కు గొంతు మరియు ఊపిరితిత్తులను ప్రభావితం చేస్తుంది. ఇది శీతాకాలంలో కాలానుగుణంగా గరిష్ట స్థాయికి చేరుకుంటుంది కానీ ఏడాది పొడవునా సంభవించవచ్చు.
<br><br>
<strong>కారణాలు</strong><br><br>
- వైరస్ ట్రాన్స్మిషన్: ఇన్ఫ్లుఎంజా రకాలు A మరియు B.<br> వల్ల కలుగుతుంది<br>
- వ్యాప్తి: ప్రధానంగా దగ్గు లేదా తుమ్ముల నుండి శ్వాసకోశ చుక్కల ద్వారా మరియు కలుషితమైన ఉపరితలాలను తాకడం ద్వారా.
<br><br>
<strong>జాగ్రత్తలు</strong><br><br>
-<em><b> టీకా:</em></b> వార్షిక ఫ్లూ టీకా ఉత్తమ నివారణ.<br>
-<em><b> మంచి పరిశుభ్రత:</em></b> క్రమం తప్పకుండా చేతులు కడుక్కోవడం మరియు ముఖాన్ని తాకకుండా ఉండడం.<br>
- <em><b>సన్నిహిత సంబంధాన్ని నివారించండి: </em></b>అనారోగ్య వ్యక్తులకు దూరంగా ఉండండి.<br>
- <em><b>ముసుగు ధరించండి:</em></b> ఫ్లూ సీజన్‌లో రద్దీగా ఉండే లేదా ఇండోర్ ప్రదేశాలలో.<br>
- <em><b>అనారోగ్యం ఉన్నప్పుడు ఇంట్లోనే ఉండండి:</em></b> వైరస్ వ్యాప్తి చెందకుండా నిరోధించడానికి.<br>
<br>
<strong>ఇంటి నివారణలు</strong><br>
<br>
-<em><b>విశ్రాంతి మరియు హైడ్రేషన్:</b></em> నీరు మరియు హెర్బల్ టీలు వంటి ద్రవాలను త్రాగండి.<br>
-<em><b>ఓవర్-ది-కౌంటర్ మందులు:</b></em> జ్వరం మరియు నొప్పులకు నొప్పి నివారణలు.<br>
-<em><b>అల్లం మరియు తేనె టీ:</b></em> గొంతు నొప్పి మరియు దగ్గును ఉపశమనం చేస్తుంది.<br>
-<em><b>ఆవిరి పీల్చడం:</b></em> నాసికా రద్దీని తగ్గిస్తుంది.<br>
-<em><b>సాల్ట్ వాటర్ గార్గల్:</b></em> గొంతు అసౌకర్యాన్ని తగ్గిస్తుంది.<br>
-<em><b>వెచ్చని ద్రవాలు:</b></em> గొంతును ఉపశమనం చేస్తుంది మరియు రద్దీని తగ్గిస్తుంది.<br>
-<em><b>హ్యూమిడిఫైయర్:</b></em> సులభంగా శ్వాస తీసుకోవడానికి గాలికి తేమను జోడిస్తుంది."
flu,hi,"इन्फ्लूएंजा (फ्लू): इन्फ्लूएंजा जिसे आमतौर पर फ्लू के रूप में जाना जाता है, एक संक्रामक श्वसन बीमारी है जो इन्फ्लूएंजा वायरस के कारण होती है जो मुख्य रूप से नाक गले और फेफड़ों को प्रभावित करती है। यह सर्दियों में मौसमी चरम पर होता है लेकिन साल भर भी हो सकता है।
<br><br>
<strong>कारण</strong><br><br>
- वायरस संचरण: इन्फ्लूएंजा प्रकार ए और बी के कारण होता है<br>
- फैलाव: मुख्य रूप से खांसी या छींक से निकलने वाली श्वसन बूंदों के माध्यम से और दूषित सतहों को छूने से।
<br><br>
<strong>सावधानियां</strong><br><br>
-<em><b> टीकाकरण:</em></b> वार्षिक फ्लू का टीका सबसे अच्छी रोकथाम है।<br>
-<em><b> अच्छी स्वच्छता:</em></b> नियमित रूप से हाथ धोना और चेहरे को छूने से बचना।<br>
- <em><b>निकट संपर्क से बचें: </em></b>बीमार व्यक्तियों से दूर रहें।<br>
- <em><b>मास्क पहनें:</em></b> फ्लू के मौसम के दौरान भीड़-भाड़ वाले या इनडोर स्थानों में।<br>
- <em><b>बीमार होने पर घर पर रहें:</em></b> वायरस को फैलने से रोकने के लिए।<br>
<br>
<strong>घरेलू उपचार</strong><br>
<br>
-<em><b>आराम और जलयोजन:</b></em>पानी और हर्बल चाय जैसे तरल पदार्थ पिएं।<br>
-<em><b>ओवर-द-काउंटर दवाएं:</b></em>बुखार और दर्द के लिए दर्द निवारक।<br>
-<em><b>अदरक और शहद की चाय:</b></em> गले की खराश और खांसी से राहत दिलाती है।<br>
-<em><b>भाप साँस लेना:</b></em> नाक की भीड़ से राहत दिलाता है।<br>
-<em><b>नमक पानी का गरारा:</b></em>गले की परेशानी को कम करता है।<br>
-<em><b>गर्म तरल पदार्थ:</b></em> गले को आराम देते हैं और जमाव से राहत दिलाते हैं।<br>
-<em><b>ह्यूमिडिफायर:</b></em>सांस लेने में आसानी के लिए हवा में नमी जोड़ता है."
flu,ta,"இன்ஃப்ளூயன்ஸா (ஃப்ளூ) : காய்ச்சல் என்று பொதுவாக அறியப்படும் இன்ஃப்ளூயன்ஸா என்பது இன்ஃப்ளூயன்ஸா வைரஸ்களால் ஏற்படும் தொற்று சுவாச நோயாகும், இது முதன்மையாக மூக்கு தொண்டை மற்றும் நுரையீரலை பாதிக்கிறது. இது குளிர்காலத்தில் பருவகால உச்சம், ஆனால் ஆண்டு முழுவதும் ஏற்படலாம்.
<br><br>
<strong>காரணங்கள்</strong><br><br>
- வைரஸ் பரவுதல்: இன்ஃப்ளூயன்ஸா வகை A மற்றும் B.<br> மூலம் ஏற்படுகிறது<br>
- பரவல்: முதன்மையாக இருமல் அல்லது தும்மல் மற்றும் அசுத்தமான மேற்பரப்புகளைத் தொடுவதன் மூலம் சுவாசத் துளிகள் மூலம்.
<br><br>
<strong>முன்னெச்சரிக்கைகள்</strong><br><br>
-<em><b> தடுப்பூசி:</em></b> வருடாந்திர காய்ச்சல் தடுப்பூசி சிறந்த தடுப்பு ஆகும்.<br>
-<em><b> நல்ல சுகாதாரம்:</em></b> வழக்கமான கை கழுவுதல் மற்றும் முகத்தைத் தொடுவதைத் தவிர்த்தல்.<br>
- <em><b>நெருங்கிய தொடர்பைத் தவிர்க்கவும்: </em></b>நோய்வாய்ப்பட்ட நபர்களிடமிருந்து விலகி இருங்கள்.<br>
- <em><b>முகமூடியை அணியுங்கள்:</em></b> காய்ச்சல் பருவத்தில் நெரிசலான அல்லது உட்புற இடங்களில்.<br>
- <em><b>உடம்பு சரியில்லாதபோது வீட்டிலேயே இருங்கள்:</em></b> வைரஸ் பரவாமல் தடுக்க.<br>
<br>
<strong>வீட்டு வைத்தியம்</strong><br>
<br>
-<em><b>ஓய்வு மற்றும் நீரேற்றம்:</b></em> தண்ணீர் மற்றும் மூலிகை தேநீர் போன்ற திரவங்களை குடிக்கவும்.<br>
-<em><b>கவுண்டரில் கிடைக்கும் மருந்துகள்:</b></em> காய்ச்சல் மற்றும் வலிகளுக்கு வலி நிவாரணிகள்.<br>
-<em><b>இஞ்சி மற்றும் தேன் தேநீர்:</b></em> தொண்டை புண் மற்றும் இருமல் தணிக்கும்.<br>
-<em><b>நீராவி உள்ளிழுத்தல்:</b></em> நாசி நெரிசலை நீக்குகிறது.<br>
-<em><b>உப்பு நீர் வாய் கொப்பளிக்க:</b></em> தொண்டையில் ஏற்படும் அசௌகரியத்தை குறைக்கிறது.<br>
-<em><b>சூடான திரவங்கள்:</b></em> தொண்டையைத் தணித்து, நெரிசலைக் குறைக்கும்.<br>
-<em><b>ஹைமிடிஃபையர்:</b></em> எளிதாக சுவாசிக்க காற்றில் ஈரப்பதத்தை சேர்க்கிறது"
